JEEVAN BIKAS SAMAJ,11000130,NULL,JEEVAN BIKAS SAMAJ (KATAHARI),Katahari Chowk,,Morang,Morang,np,np        ,NULL,NULL,NULL,NULL
JEEVAN BIKAS SAMAJ,11000131,NULL,JEEVAN BIKAS SAMAJ (BIRATNAGAR),Biratnagar, Bargachhi,,Morang,Morang,np,np        ,NULL,NULL,NULL,NULL
JEEVAN BIKAS SAMAJ,11000132,NULL,JEEVAN BIKAS SAMAJ (RAJGADH),Rajgadh, Opposite to Police Office,,Jhapa,Jhapa,np,np        ,NULL,NULL,NULL,NULL
JEEVAN BIKAS SAMAJ,11000133,NULL,JEEVAN BIKAS SAMAJ (MADHUMALLA),Madhumalla Bazaar,,Morang,Morang,np,np        ,NULL,NULL,NULL,NULL
JEEVAN BIKAS SAMAJ,11000134,NULL,JEEVAN BIKAS SAMAJ (TANGHADUBBA),Tanghadubba, Kamatoli Tole,,Jhapa,Jhapa,np,np        ,NULL,NULL,NULL,NULL
JEEVAN BIKAS SAMAJ,11000135,NULL,JEEVAN BIKAS SAMAJ (ITAHARA),Sombare Chowk,,Morang,Morang,np,np        ,NULL,NULL,NULL,NULL
JEEVAN BIKAS SAMAJ,11000136,NULL,JEEVAN BIKAS SAMAJ (BALAHA),Balaha, BP Chowk,,Sunsari,Sunsari,np,np        ,NULL,NULL,NULL,NULL
JEEVAN BIKAS SAMAJ,11000137,NULL,JEEVAN BIKAS SAMAJ (MAHENDRANAGAR),Bange Bazar,,Sunsari,Sunsari,np,np        ,NULL,NULL,NULL,NULL
JEEVAN BIKAS SAMAJ,11000138,NULL,JEEVAN BIKAS SAMAJ (RAJARANI),Rajarani,+2 School Opposite,,Dhankuta,Dhankuta,np,np        ,NULL,NULL,NULL,NULL
JEEVAN BIKAS SAMAJ,11000139,NULL,JEEVAN BIKAS SAMAJ (SINDHULI),Sindhuli Bazaar,,Sindhuli,Sindhuli,np,np        ,NULL,NULL,NULL,NULL
JEEVAN BIKAS SAMAJ,11000140,NULL,JEEVAN BIKAS SAMAJ (BHIMAN),Bhiman Bazaar,,Sindhuli,Sindhuli,np,np        ,NULL,NULL,NULL,NULL
JEEVAN BIKAS SAMAJ,11000142,NULL,JEEVAN BIKAS SAMAJ (DUDHAULI),Dudhauli Bazaar,,Sindhuli,Sindhuli,np,np        ,NULL,NULL,NULL,NULL
JEEVAN BIKAS SAMAJ,11000143,NULL,JEEVAN BIKAS SAMAJ (AAITAWARE),Aaitaware Bazaar,,Ilam,Ilam,np,np        ,NULL,NULL,NULL,NULL
JEEVAN BIKAS SAMAJ,11000144,NULL,JEEVAN BIKAS SAMAJ (BIBLYANTE),Biblyante Bazaar,,Ilam,Ilam,np,np        ,NULL,NULL,NULL,NULL
JEEVAN BIKAS SAMAJ,11000145,NULL,JEEVAN BIKAS SAMAJ (DANABARI),Danabari,,Ilam,Ilam,np,np        ,NULL,NULL,NULL,NULL
JEEVAN BIKAS SAMAJ,11000146,NULL,JEEVAN BIKAS SAMAJ (RAMPUR),Rampur Bazaar,,Udaypur,Udaypur,np,np        ,NULL,NULL,NULL,NULL
JEEVAN BIKAS SAMAJ,11000147,NULL,JEEVAN BIKAS SAMAJ (JHANGAJHOLI),Jhangajholi, Near Rastriya Banijya Bank,,Sindhuli,Sindhuli,np,np        ,NULL,NULL,NULL,NULL
JEEVAN BIKAS SAMAJ,11000148,NULL,JEEVAN BIKAS SAMAJ (MANGALBARE),Mangalbare Bazaar,,Ilam,Ilam,np,np        ,NULL,NULL,NULL,NULL
